sep=;
Year;Month;Day;Hour;Temperature
2022;04;28;06;-0,6
2022;04;28;18;1,5
2022;04;29;06;-6,6
2022;04;29;18;6,8
2022;04;30;06;0,8
2022;04;30;18;11,1
2022;05;01;06;-0,9
2022;05;01;18;6,4
2022;05;02;06;-0,8
2022;05;02;18;9,3
2022;05;03;06;1,3
2022;05;03;18;15
2022;05;04;06;6,7
2022;05;04;18;10,4
2022;05;05;06;1,1
2022;05;05;18;5,4
2022;05;06;06;-4,2
2022;05;06;18;11
2022;05;07;06;1,7
2022;05;07;18;18
2022;05;08;06;7
2022;05;08;18;19,2
2022;05;09;06;8,4
2022;05;09;18;21,3
2022;05;10;06;5,9
2022;05;10;18;14,6
2022;05;11;06;9,1
2022;05;11;18;18,1
2022;05;12;06;4,4
2022;05;12;18;15,6
2022;05;13;06;4,6
2022;05;13;18;14,9
2022;05;14;06;5,8
2022;05;14;18;13,2
2022;05;15;06;7
2022;05;15;18;15,3
2022;05;16;06;3,3
2022;05;16;18;17,4
2022;05;17;06;6,4
2022;05;17;18;17,4
2022;05;18;06;6,8
2022;05;18;18;9,4
2022;05;19;06;2,9
2022;05;19;18;10,4
2022;05;20;06;3,7
2022;05;20;18;9,3
2022;05;21;06;1,8
2022;05;21;18;6,1
2022;05;22;06;-0,1
2022;05;22;18;5,6
2022;05;23;06;0,3
2022;05;23;18;6,8
2022;05;24;06;1
2022;05;24;18;5,6
2022;05;25;06;-1,4
2022;05;25;18;11,9
2022;05;26;06;0,6
2022;05;26;18;13,5
2022;05;27;06;4,2
2022;05;27;18;13,9
2022;05;28;06;9,3
2022;05;28;18;14,6
2022;05;29;06;7,5
2022;05;29;18;14,9
2022;05;30;06;5,8
2022;05;30;18;17,4
2022;05;31;06;11
2022;05;31;18;21,6
2022;06;01;06;8,2
2022;06;01;18;25,9
2022;06;02;06;11,9
2022;06;02;18;27
2022;06;03;06;12,2
2022;06;03;18;27,4
2022;06;04;06;15,7
2022;06;04;18;
2022;06;05;06;8,6
2022;06;05;18;20,7
2022;06;06;06;8,1
2022;06;06;18;
2022;06;07;06;9,7
2022;06;07;18;19,2
2022;06;08;06;10,3
2022;06;08;18;14,5
2022;06;09;06;11,5
2022;06;09;18;24,7
2022;06;10;06;8,3
2022;06;10;18;23,8
2022;06;11;06;11,4
2022;06;11;18;16
2022;06;12;06;6,4
2022;06;12;18;17,7
2022;06;13;06;3,7
2022;06;13;18;22,9
2022;06;14;06;7,1
2022;06;14;18;25,1
2022;06;15;06;12,4
2022;06;15;18;27,9
2022;06;16;06;14,9
2022;06;16;18;23,3
2022;06;17;06;13,2
2022;06;17;18;23,2
2022;06;18;06;10,2
2022;06;18;18;22,6
2022;06;19;06;10,2
2022;06;19;18;19,7
2022;06;20;06;12,5
2022;06;20;18;16,4
2022;06;21;06;12,2
2022;06;21;18;21,8
2022;06;22;06;11
2022;06;22;18;20,3
2022;06;23;06;12,6
2022;06;23;18;
2022;06;24;06;9,8
2022;06;24;18;24,6
2022;06;25;06;14
2022;06;25;18;24
2022;06;26;06;10,8
2022;06;26;18;21,5
2022;06;27;06;9,7
2022;06;27;18;24,3
2022;06;28;06;8,8
2022;06;28;18;12,8
2022;06;29;06;7,4
2022;06;29;18;21,2
2022;06;30;06;10,9
2022;06;30;18;17
2022;07;01;06;7,2
2022;07;01;18;20,4
2022;07;02;06;6,7
2022;07;02;18;23,9
2022;07;03;06;13,8
2022;07;03;18;19,2
2022;07;04;06;8,9
2022;07;04;18;20,4
2022;07;05;06;7,3
2022;07;05;18;24,5
2022;07;06;06;10,4
2022;07;06;18;27,7
2022;07;07;06;14,3
2022;07;07;18;30,5
2022;07;08;06;18,4
2022;07;08;18;31,5
2022;07;09;06;17,3
2022;07;09;18;27
2022;07;10;06;13,9
2022;07;10;18;28
2022;07;11;06;16,6
2022;07;11;18;30,7
2022;07;12;06;20,4
2022;07;12;18;30,7
2022;07;13;06;19,3
2022;07;13;18;29,4
2022;07;14;06;18
2022;07;14;18;23,7
2022;07;15;06;18,5
2022;07;15;18;23,3
2022;07;16;06;13,6
2022;07;16;18;24,8
2022;07;17;06;12,3
2022;07;17;18;25
2022;07;18;06;15,7
2022;07;18;18;27,6
2022;07;19;06;16,8
2022;07;19;18;19,8
2022;07;20;06;13,1
2022;07;20;18;20,7
2022;07;21;06;8,9
2022;07;21;18;24,1
2022;07;22;06;12,1
2022;07;22;18;27
2022;07;23;06;14,3
2022;07;23;18;27,7
2022;07;24;06;16,1
2022;07;24;18;28,9
2022;07;25;06;15,9
2022;07;25;18;29,3
2022;07;26;06;16,7
2022;07;26;18;23,2
2022;07;27;06;12,7
2022;07;27;18;24,2
2022;07;28;06;10,1
2022;07;28;18;25,4
2022;07;29;06;14,8
2022;07;29;18;26,9
2022;07;30;06;12,5
2022;07;30;18;27,2
2022;07;31;06;16,2
2022;07;31;18;24,7
2022;08;01;06;11,6
2022;08;01;18;24,1
2022;08;02;06;14,5
2022;08;02;18;25,8
2022;08;03;06;11,7
2022;08;03;18;26,2
2022;08;04;06;12,7
2022;08;04;18;27,7
2022;08;05;06;14
2022;08;05;18;28,8
2022;08;06;06;15
2022;08;06;18;29,2
2022;08;07;06;15,2
2022;08;07;18;30,2
2022;08;08;06;15,5
2022;08;08;18;29,3
2022;08;09;06;18,8
2022;08;09;18;28,4
2022;08;10;06;17,2
2022;08;10;18;20,9
2022;08;11;06;10,9
2022;08;11;18;22,8
2022;08;12;06;12,2
2022;08;12;18;24,7
2022;08;13;06;15,9
2022;08;13;18;21,9
2022;08;14;06;9,8
2022;08;14;18;24,4
2022;08;15;06;8,7
2022;08;15;18;24,5
2022;08;16;06;9,8
2022;08;16;18;25,9
2022;08;17;06;11,6
2022;08;17;18;26,2
2022;08;18;06;13,3
2022;08;18;18;24,1
2022;08;19;06;8,6
2022;08;19;18;23,8
2022;08;20;06;7,2
2022;08;20;18;24,6
2022;08;21;06;8,9
2022;08;21;18;26,4
2022;08;22;06;10,3
2022;08;22;18;28,9
2022;08;23;06;12,3
2022;08;23;18;29,5
2022;08;24;06;15,3
2022;08;24;18;30,3
2022;08;25;06;14,9
2022;08;25;18;30,1
2022;08;26;06;14,7
2022;08;26;18;28,9
2022;08;27;06;15
2022;08;27;18;29
2022;08;28;06;13,9
2022;08;28;18;28,8
2022;08;29;06;13,2


2022;08;29;18;30,3
2022;08;30;06;19
2022;08;30;18;26,1
2022;08;31;06;13,7
2022;08;31;18;16,9
2022;09;01;06;13,3
2022;09;01;18;18,2
2022;09;02;06;6,3
2022;09;02;18;16,5
2022;09;03;06;7,7
2022;09;03;18;11,4
2022;09;04;06;3,1
2022;09;04;18;13,9
2022;09;05;06;1,3
2022;09;05;18;11,8
2022;09;06;06;6,3
2022;09;06;18;10,2
2022;09;07;06;5,3
2022;09;07;18;11,3
2022;09;08;06;5,7
2022;09;08;18;10,7
2022;09;09;06;2,3
2022;09;09;18;10,9
2022;09;10;06;5
2022;09;10;18;12,6
2022;09;11;06;6,2
2022;09;11;18;9,9
2022;09;12;06;1,7
2022;09;12;18;13,4
2022;09;13;06;6,5
